Spell Name,,Discription,Ritual ,Option_A,Casting Time,Cast condition,Components,Material,Duration,Page No.,Use,Save/ Attack Roll,Utility Effect,Damage Type ,Letter,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock ,Wizard
Antimagic Field,necromancy,"An aura of antimagic surround you in a 10-foot Emanation.
No one can cast spells, take Magic actions, or create
other magical effects inside the aura, and those things can't target or otherwise affect anything inside its. Magical properties of magic items don't work inside the aura or on anything inside it.
Areas of effect created by spells or other magic can't extend into the aura, and no one can teleport into or out of it or use planar travel there. Portals close temporarily while in the aura.
Ongoing spells, except those cast by an Artifact or deity,
are supressed in the area.While an effect is supressed, it doesn't function, but the time it spends supressed counts against its duration.
Dispel Magic has no effect on the aura, and the auras created by different Antimagic field spells don't nullify each other.
",No,Level 8,Action,,"V, S, M",(iron filings),"Concentration, up to 1 Hour",241,Utility,_,Anti Magic,_,A,No,Yes,No,No,No,No,No,Yes
Antipathy/Sympathy,divination,"As you cast the  spell, choose whether it creates antipathy or sympathy, and target one creature or object that is Huge or smaller.Then specify a kind of creature, such as red dragons, goblins, or vampires.
A creature of the chosen kind makes a Wisdom saving throw when it comes within 120 feet of the target. Your choice of antipathy or sympathy determines what happens to a creature when it fails that save.

Antipathy. The creature has the Frightened conditon. The Frightened creature must use its movement on its turn to get as far away as possible from the target, moving by the safest route.
Sympathy.  The creature has the Charmed condition. The Charmed creature must use its movement on its turn to get as close as possible to the target, moving by the safest route. If the creature is within 5 ft of the target, the creature can't willingly move away. If the target damages the Charmed creature, that creature can makes a Wisdom saving throw to end the effect, as described below.
Ending the Effect. If the Frightened of Charmed creature ends its turn more than 120 feet away from the target, the creature makes a Wisdom svaing throw. On a successful save the creature is no longer affected by the target. A creature that successfully saves against this effect is immune to it for 1 minute, after which it can be affected again.",No,Level 8,1 Hour,,"V, S, M",(a mix of vinegar and honey),10 Days,242,Utility,Wisdom Save,Options,_,A,Yes,No,Yes,No,No,No,No,Yes
Arcane Eye,abjuration,"You create an invisible,  invunerable eye within range that
hovers in the air for the duration.
You mentally receive visual information from the eye,
which can see in every direction. It also has Darkvision with a range of 30 feet.
As a Bonus Action you can move the eye up to 30 feet in
any direction. A solid barrier blocks the eyes's movement, but the eye can pass through an opening as small as 1 inch in diameter.",No,Level 4,Action,,"V, S, M",(a bit of bat fur),"Concentration, up to 1 Hour",242,Utility,_,Sensory Information,_,A,No,No,No,No,No,No,No,Yes
Arcane Gate,transmutation,"You create linked teleportation portals. Choose two Large, unoccupied spaces on the ground that you can see, one space within range and the other one within 10 feet of you. A circular portal opens in the each of those spaces and remains for the duration.
The portals are two-dimensional glowing rings
filled with mist that block sight. They hover inches from the ground and are perpendicular to it
A portal is open on only one side (you choose which).
Anything entering the open side of the portal exits from the open side of the other portal as if the two were adjacent to each other.
As a Bonus Action you can change the facing of the open sides.",No,Level 6,Action,,"V, S",,"Concentration, up to 10 Minutes",242,Utility,_,Transposition,_,A,No,No,No,No,No,Yes,Yes,Yes
Arcane Lock,enchantment,"You touch a closed door, window, gate, container or hatch and magically lock it for the duration. This lock can't be unlocked by any nonmagical means. You and any creatures you designate when you cast the spell can open and close the object despite the lock. You can also set a password that, when spoken within 5 feet of the object, unlocks it for 1 minute. ",No,Level 2,Action,,"V, S, M**","(gold dust worth at least 25 gp,
which the spell consumes)",Until Dispelled,242,Utility,_,_,_,A,No,No,No,No,No,No,No,Yes
Arcane Vigor,enchantment,"You tap into your lifeforce to heal yourself. Roll one or two of your unexpended Hit Point Dice, and regain a number of Hit Points equal to the roll's total plus your spellcasting ability modifier Those dice are then expended.
Using a Higher-Level Spell Slot. The number of unexpended Hit Dice you can roll increases by one for each spell slot level above 2.",No,Level 2,Bonus Action,,"V, S",,Instantaneous,242,Healing,_,_,_,A,No,No,No,No,No,No,No,Yes
Armour Of Agathys,divination,"Protective magical frost surrounds you.
You gain 5 temporary hit points. If a
creature hits you with a melee attack roll before the spell ends, the creature takes 5 Cold damage. The spell ends early if you have no Temporary Hit Points.
Using a Higher-Level Spell Slot. The Temporary Hit Points and the Cold damage both increase by 5 for each spell slot level above 1.",No,Level 1,Bonus Action,,"V, S, M",(a shard of blue glass),1 Hour,243,Protection/Damage,_,_,_,A,No,No,No,No,No,No,Yes,No
Arms Of Hadar,divination,"Invoking Hadar, you cause tendrils to erupt form yourself. Each creature in a 10-foot Emanation originating from you makes a Stength saving throw. On a failed save, a target takes 2d6 Necrotic damage and can't take Reactions until the start of its next turn. On a successful save, a target takes half as much damage only. 
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.
",No,Level 1,Action,,"V, S",,Instantaneous,243,Damage,Strength Save,_,Necrotic,A,No,No,No,No,No,No,Yes,No
Astral Projection,illusion,"You and up to eight willing creatures within range
project your astral bodies into the Astral Plane (the
spell end instantly if you are already
on that plane). Each targets body is left behind in a
 a state of suspended animation; it has the Unconcious condition doesn't need food or air, and doesn't age. A target's astral form resembles its body in almost every way, replicating its game statistics and possessions. The principal difference is the addition of a silvery cord that trails from between your shoulder
blades of the astral form. The cord fades from view after 1 foot.  If the cord is cut—which only happens when an effects states that it does so—  the targets body and astral form both die.
 A target's astral form can freely travel through the Astral
Plane. The moment an astral form leaves that plane, the target's body and possessions travel along the silver cord, causing the target to re-enter its body on the new plane.
Any damage or other effects that apply to an astral form have no effect on the target's body and vice versa. If a target's body or astral form drops to 0 Hit Points, the spell ends for that target. The spell ends for all targets if you take a Magic action to dismiss it. 
When the spell ends for a target who isn't dead, the target reappears in its body and exits the state of suspended animation.
",No,Level 9,1 Hour,,"V, S, M**","(for each of the spell's target's one jacinth worth 1,000+ GP and one silver bar worth 100+ gp, all of which the spell consumes)",Until Dispelled,243,Utility,_,Planar Travel,_,A,No,Yes,No,No,No,No,Yes,Yes
Augry,transmutation,"You receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the omen from this Omens table. 
• Weal — Good
• Woe — Bad
• Weal and woe — Good and Bad
• Indifference — Neither good nor bad
The spell doesn’t take into account circumstances that might change the results.
If you cast the spell more than once before finishing a long rest, there is a cumulative 25 percent chance for each casting after the first that you get no asnwer.",Yes,Level 2,1 Minute,,"V, S, M*","(specially marked sticks, bones,
cards or other divinatory tokens woth 25+ gp)",Instantaneous,244,Utility,_,Divination Intel,_,A,No,Yes,Yes,No,No,No,No,Yes
Aura Of Life,transmutation,"An aura radiates from you in 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Necrotic damage, and your Hit Point Maximums can't be reduced. If an ally with 0 Hit Points starts its turn in the aura, that ally regains 1 Hit Point.",No,Level 4,Action,,V,,"Concentration, up to 10 Minutes",244,Protection/Healing,_,Resistances,Necrotic,A,No,Yes,No,Yes,No,No,No,No
Aura Of Purity,enchantment,"An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Poison damage and Advantage on saving throws to avoid or end effects that include the Blinded, Charmed, Deafended, Frightened, Paralyzed, Poisoned, or Stunned condition.",No,Level 4,Action,,V,,"Concentration, up to 10 Minutes",244,Protection,_,Resistances,Poison ,A,No,Yes,No,Yes,No,No,No,No
Aura Of Vitality,evocation,"An aura radiates from you in a 30-foot Emination for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 hit points to one creature in it.",No,Level 3,Action,,V,,"Concentration, up to 1 Minutes",244,Healing,_,_,_,A,No,Yes,Yes,Yes,No,No,No,No
Awaken,transmutation,"You spend the casting time tracing magical pathways within a precious gemstone, and then touch the target. The target must be either a Beast or Plant creature within an Intelligence of 3 or less or a natural plant that isn't a creature. The target gains an Intelligence o f 10. The target also gains the ability to speak one language you know. If the target is a natural Plant, its becomes a Plant creature and gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human’s. Your DM chooses statistics appropriate for the awakened Plant, such as the statistics for the
Awakened Shrub or Awakened Tree in the Monster Manual.
The awakened target has the Charmed condition for 30 days or until you or your allies deal damage to it. 
When that condition ends, the awakened creature chooses its attitude toward you.",No,Level 5,8 Hours,,"V, S, M**","(an agate 1,000+ gp,
which the spell consumes)
",Instantaneous,244,Minion/Summon,_,_,_,A,Yes,No,Yes,No,No,No,No,No
Bane,conjuration,"Up to three creatures of your choice that you can see
within range must make a Charisma saving throw.
Whenever a target that fails this saving throw makes
an attack roll or a saving throw before the spell ends,
the target must  subtract  1d4 from the attack roll or save
Using a Higher-Level Spell Slot.  You can target one additional creature for each spell slot level above 1.",No,Level 1,Action,,"V, S, M",(a drop of blood),"Concentration, up to 1 Minute",245,Debuff,Charisma Save,_,_,B,Yes,Yes,No,No,No,No,Yes,No
Banishing Smite,illusion,"The target hit by the attack roll takes and extra 5d10 Force damage from the attack. If the attack reduces the target
to 50 Hit Points or fewer, the target must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. ",No,Level 5,Bonus Action*,Which you take immediatley after hitting a creature with a Melee weapon or an Unarmed Strike,V,,"Concentration, up to 1 Minute",245,Damage,Charisma Save,Banish,Force,B,No,No,No,Yes,No,No,No,No
Banishment,evocation,"One creature that you can see within range must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapcitated condition. When the spell ends, the target reappears in the space it left or the nearest unoccupied space if that space is occupied.
If the target is an Abberation, Celestial, Elemental, Fey, or Fiend, the target doesn't return if the spell last for 1 minute. The target is instead transported to a random location on a plane (DM's choice) associated with its creature type.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.",No,Level 4,Action,,"V, S, M",(a pentacle),"Concentration, up to 1 Minute",245,Debuff,Charisma Save,_,_,B,No,Yes,No,Yes,No,Yes,Yes,Yes
Barkskin,illusion,"You touch a willing creature. Until the spell ends, the
target’s skin assumes a bark-like appearance, and the target has and Armour Class of 17 if its AC is lower than that.
",No,Level 2,Action,,"V, S, M","(a handful of  bark)
",1 Hour,245,Protection,_,AC Increase,_,B,No,No,Yes,No,Yes,No,No,No
Beacon Of Hope,evocation,"Choose any number of creatures within range. For the duration, each target has Advantage on Wisdom saving throws and Death Saving Throws, and regains the maximum
number of hit points possible from any healing.
",No,Level 3,Action,,"V, S",,"Concentration, up to 1 Minute",245,Protection/Healing,_,_,_,B,No,Yes,No,No,No,No,No,No
Beast Sense,illusion,"You touch a willing beast. For the duration, you can percieve through the Beast's senses as well as your own. When perceiving through the Beast's senses, you benefit from any special senses it has. ",Yes,Level 2,Action,,S,,"Concentration, up to 1 Hour",245,Utility,_,Sensory Information,_,B,No,No,Yes,No,Yes,No,No,No
Befuddlement,conjuration,"You blast the mind of a creature that you can see within range. The target makes in Intelligence saving throw. On a failed save, the target  takes 10d12 Psychic damage and can't cast spells or take the Magic action. At the end of every 30 days, the target repeats the save, ending the effect on a success. The effect can also be ended by the Greater Restoration, Heal, or Wish spell.
On a successful save, the target takes half as much damage only.",No,Level 8,Action,,"V, S, M",a key ring with no keys ,Instantaneous,245,Damage,Intelligence Save ,Anti Magic,_,B,Yes,No,Yes,No,No,No,Yes,Yes
Bestow Curse,transmutation,"You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration of the spell.Until the curse ends, the target sufferes one of the following effects of your choice:

• Choose one ability. The target has disadvantage on ability checks and saving throws made with that ability.
• The target has disadvantage on attack
rolls against you.
• In Combat, the target must make a Wisdom saving
throw at the start of each of its turns or be forced to take the Dodge action on that turn.
• If you deal damage to the target with an attack roll or spell, the target takes an extra 1d8 Necrotic damage.
Using a Higher-Level Spell Slot.  If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a 5+ spell slot, the spell doesn't require Concentration, and the duration becomes 8 hours (level 5-6 slot) or 24 hours (level 7-8 slot). If you use a level 9 spell slot, the spell lasts until dispelled",No,Level 3,Action,,"V, S",,"Concentration, up to 1 Minute",246,Debuff,Wisdom Save,_,_,B,Yes,Yes,No,No,No,No,No,Yes
Bigby's Hand,enchantment,"You create a Large hand of shimmering magical energy in an unoccupied space that you can see within
range. The hand lasts for the duration, and it moves at your command, mimicking the movements of your own hand.
The hand is an object that has AC 20 and Hit Points
equal to your Hit Point maximum. If it drops to 0 hit
points, the spell ends.
When you cast the spell and as a Bonus Action on your
later turns, you can move the hand up to 60 feet
and then cause one of the following effects with it.
Clenched Fist. The hand strikes a target within 5 feet of it. 
Make a melee spell attack. On a hit, the target takes 5d8 force damage.
Forceful Hand. The hand attempts to push a Huge or smaller creature within 5 feet of it.The target must succeed on a Strength saving throw, or the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifie. The hand moves with the target, remaining within 5 feet of it. 
Grasping Hand. The hand attempts to grapple a Huge
or smaller creature within 5 feet of it. The target must succeed on a Dexterity saving throw, or the target has the Grappled condition, with and escape DC equal to you spell save DC. While the hand grapples the target, you can take a Bonus Action to cause the hand to crush it,dealing Bludgeoning damage to the target equal to 4d6 pluss your spellcasting ability modifier.
Interposing Hand. The hand grants you Half Cover against attackers and over effects that orginiate from its space or that pass though it. In addition, its space counts as Difficult Terrain for your enemies.
Using a Higher-Level Spell Slot. The damage of the Clenched Fist increased by 2d8 and the damge of the Grasping hand increases by 2d6 for each spell slot level above 5.

",No,Level 5,Action,,"V, S, M","(an eggshell and a glove)
","Concentration, up to 1 Minute",246,Damage,Mixed,_,Force,B,No,No,No,No,No,Yes,No,Yes
Blade Barrier,evocation,"You create a wall of whirling blades made of magical energy. The wall appears within range and lasts for the duration. You can make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides Three-Quarters, and its space is difficult terrain.
Any creature in the wall's space makes a Dexterity saving throw, taking 6d10 Force damage on a failed save or half as much on a successful one.A creature also makes that save if it enters the wall's spaces or ends its turn there. A crature makes that save only one per turn.",No,Level 6,Action,,"V, S",,"Concentration, up to 10 Minutes",247,Damage,Dexterity Save,_,Force,B,No,Yes,No,No,No,No,No,No
Blade Ward,abjuration,"Whenever a creature makes an attack roll against you before the spell ends, the attacker subtracts 1d4 from the attack roll.
",No,Cantrip,Action,,"V, S",,"Concentration, up to 1 Minute",247,Protection,_,_,_,B,Yes,No,No,No,No,Yes,Yes,Yes
Bless,transmutation,"You bless up to three creatures within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target adds 1d4  to the attack roll orsave.
Using a Higher-Level Spell Slot.  You can target one additional creature for each spell slot level above 1.
",No,Level 1,Action,,"V, S, M*","(a Holy Symbol worth 5+ GP)
","Concentration, up to 1 Minute",247,Buff,_,_,_,B,No,Yes,No,Yes,No,No,No,No
Blight,conjuration,"A creature you can see within range, makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on successful one. 
A Plant creature automatically fails the save.
Alternatively, target a non magical plant that isn't a creature, such as a tree or shrub. It doesn't make a save: it simply withers and dies. 
Using a Higher-Level Spell Slot.  The damage increases by 1d8 for each spells slot level above 4",No,Level 4,Action,,"V, S",,Instantaneous,247,Damage,Constitution Save ,_,Necrotic,B,No,No,Yes,No,No,Yes,Yes,Yes
Blinding Smite,illusion,"The target hit by the strike takes an extra 3d8 Radiant damage from the attack, and the target has the Blinded Condition until the spell ends. At the end of each of its turns, the Blinded target makes a Constitution saving throw, ending the spell on itself on a success. 
Using a Higher-Level Spell Slot. The extra damage increases by 1d8 for each spell slot level above 3.",No,Level 3,Bonus Action*,Which you take immediatley after hitting a creature with a Melee weapon or an Unarmed Strike,V,,1 Minute,247,Damage/Debuff,Constitution Save ,_,Radiant,B,No,No,No,Yes,No,No,No,No
Blindness/Deafness,evocation,"One creature that you can see within range must succeed on a  Constitution saving , or it has the Blinded or Deafened condition (your choice) for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2.",No,Level 2,Action,,V,,1 Minute,248,Debuff,Constitution Save ,Conditions,_,B,Yes,Yes,No,No,No,Yes,No,Yes
Blink,illusion,"Roll a 1d6 at the end of each of your turns for the duration. On a rol of 4-6, you vanish from your current plane of existence and appear in the Ethereal Plane ( the spell ends instantly if you are already on that plane). While on the Ethereal Plane, you can perceive the plane you left, which is cast in shades of gray, but you can't see anything more than 60 feet away. You can affect and be affected only by other creature on the Ethereal Plane, and creatures on the other plane can't perceive you unless they have a special ability that lets them perceive things on the Ethereal Plane. You return to the other plane at the start of your next turn and when the spell ends if you are on the Ethereal Plane. You return to an unoccupied space of your choice that you can see within 10 feet of the space you left. If no unoccupied space is available within that range, you appear in the nearest unocupied space. ",No,Level 3,Action,,"V, S",,1 Minute,248,Utility,_,Transposition,_,B,No,No,No,No,No,Yes,No,Yes
Blur,conjuration,"Your body becomes blurred. For the duration, any creature has Disadvantage on attack rolls against you. An attacker
is immune to this effect if it doesn’t rely on sight,
as with Blindsight or Truesight.",No,Level 2,Action,,V,,"Concentration, up to 1 Minute",248,Protection,_,_,_,B,No,No,No,No,No,Yes,No,Yes
Burning Hands,illusion,"A thin sheet of flames shoots forth from you. Each creature in a 15-foot cone makes a Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one.
Flammable objects in the cone that aren’t being worn or carried start burning.
Using a Higher-Level Spell Slot.  The damage increases by 1d6 for each spell slot level above 1.",No,Level 1,Action,,"V, S",,Instantaneous,248,Damage,Dexterity Save,_,Fire,B,No,No,No,No,No,Yes,No,Yes
Call Lightning,abjuration,"A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius. When you cast the spell choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning Damage on a failed save or half as much on a successful one. Until the spell ends, you can take a Magic action to call down lightning in that way again targeting the same point or a different one.
If you're outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell's damage increases by 1d10
Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.  ",No,Level 3,Action,,"V, S ",,"Concentration, up to 10 Minutes",248,Damage,Dexterity Save,_,Lightning,C,No,No,Yes,No,No,No,No,No
Calm Emotions,divination,"Each humanoid in a 20-foot-radius sphere centered on a point you choose within range must succeed on a Charisma saving throw or be affected by one of the following effects (choose for each creature)
• The creature has Immunity to the Charmed and Frightened conditions until the spell ends. If the creature was already Charmed or Frightened, those conditions are suppressed for the duration.
• The creature becomes Indifferent about creatures of your choice that it's Hostile towards. This indifference ends if the target takes damage or witnesses its allies taking damage. When the spell ends, the creature's attitude returns to normal.",No,Level 2,Action,,"V, S",,"Concentration, up to 1 Minute",249,Utility,Charisma Save,_,_,C,Yes,Yes,No,No,No,No,No,No
Chain Lightning,abjuration,"You launch a lightning bolt toward a target you can see within range. Three bolts then leap from that target to as many as three other targets of your choice, each of which must be within 30 feet of the first target. A target can be a creature or an object and can be targeted by only one of the bolts.
Each target must make a Dexterity saving throw, taking 10d8 Lightning damage on a failed save or half as much damage on a successful one.
Using a Higher-Level Spell Slot. One additional bolt leaps from the first target to another target for each spell slot above 6.",No,Level 6,Action,,"V, S, M","(three silver pins)
",Instantaneous,249,Damage,Dexterity Save,_,Lightning,C,No,No,No,No,No,Yes,No,Yes
Charm Monster,illusion,"One creature you can see within range makes a Wisdom saving throw. It does so with advantage if you or your allies are fighting it. If it fails the saving throw, it has the Charmed condition until the spell ends or until you or your allies damage it. The charmed creature is Friendly to you. When the spell ends, the target knows it was charmed by you. 
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4",No,Level 4,Action ,,"V, S",,1 Hour,249,Charm,Wisdom Save,_,_,C,Yes,No,Yes,No,No,Yes,Yes,Yes
Charm Person ,divination,"One a Humanoid you can see within range makes a Wisdom saving throw.
It does so with advantage if you or your allies are fighting it. 
On a failed save, the target has the Charmed condition until
the spell ends or until you or your allies damage it.
The charmed creature is Friendly to you. When the spell ends, the
target knows it was charmed by you.
Using a Higher-Level Spell Slot. You can target one additional creature for each spel slot level above 1.",No,Level 1,Action,,"V, S",,1 Hour,249,Charm,Wisdom Save,_,_,C,Yes,No,Yes,No,No,Yes,Yes,Yes
